"Entity","Contact date","Contact type","Subject","Action of interest","City official(s)","Lobbyist(s)",
"Lyft, Inc.","11/16/2015","Text Message","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","11/17/2015","Email","Transportation: streets, sidewalks and street lighting","TNC regulations","Alpert, Josh; Hockaday Bryan; Warner, Chris; Wiggins, Rachel","Amy Ruiz",
"Lyft, Inc.","11/17/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","11/17/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","11/17/2015","Text Message","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","11/18/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","11/18/2015","Text Message","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","11/19/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","11/19/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","11/19/2015","Text Message","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","11/20/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","11/20/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","11/20/2015","Text Message","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","11/23/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","11/23/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","11/23/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","11/23/2015","Text Message","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","11/24/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","11/24/2015","Text Message","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","12/01/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","12/01/2015","Text Message","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","12/02/2015","Text Message","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","12/03/2015","Email","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","12/03/2015","Email","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","12/03/2015","Text Message","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","12/08/2015","Text Message","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","12/09/2015","Text Message","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","12/10/2015","Text Message","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","12/21/2015","Personal Meeting","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Andrea Lobato; Laura Bisesto",
"Lyft, Inc.","10/02/2015","Email","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","10/02/2015","Email","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","11/05/2015","Email","Transportation: streets, sidewalks and street lighting","TNC regulations","Dunphy, Jamie","Amy Ruiz",
"Lyft, Inc.","12/28/2015","Text Message","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Andrea Lobato",
"Lyft, Inc.","12/29/2015","Text Message","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Andrea Lobato",
