"Entity","Contact date","Contact end date","Contact type(s)","Subject","Action of interest","City official(s)","Lobbyist(s)",
"Commercial Real Estate Collaborative","06/03/2026","","Text Message","Housing and Community Development","vacancy tax study","Donnie Oliveira","Amy Ruiz",
"Habitat for Humanity Portland Region","04/09/2026","06/23/2026","Committee Meeting; Email; Meeting Preparation; Personal Meeting; Telephone","Housing and Community Development","Streamline permitting / Code Alignment Project","Ava Atwood; Eric Kutch; Jamie Dunphy","Sarah D Radcliffe",
"Habitat for Humanity Portland Region","04/13/2026","06/03/2026","Email; Telephone","Transportation: streets, sidewalks and street lighting","Transportation Utility Fee","Candace Avalos; Jacq Tjaden; Sameer Kanal","Sarah D Radcliffe",
"Habitat for Humanity Portland Region","05/01/2026","05/13/2026","Committee Meeting; Meeting Preparation","Housing and Community Development","Land Disposition Agreement from City to Habitat Portland Region for True North","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Sarah D Radcliffe",
"Habitat for Humanity Portland Region","05/15/2026","","Personal Meeting","Housing and Community Development","Promoting homeownership and steady leadership at PHB","Raymond Lee","Sarah D Radcliffe",
"Hoyt Arboretum Friends","04/01/2026","","Email","Parks and Recreation: natural areas ","Hoyt Arboretum visitor and education center renovation","Grace Galvez Mora; Raihana Ansary ","Rachael Wiggins Emory",
"Hoyt Arboretum Friends","04/21/2026","","Email","Parks and Recreation: natural areas ","Hoyt Arboretum visitor and education center renovation","Eric Zimmerman; Lorne Bulling; Megan Beyer; Olivia Clark","Madeline Do; Rachael Wiggins Emory",
"Hoyt Arboretum Friends","05/12/2026","","Email","Parks and Recreation: natural areas ","Hoyt Arboretum visitor and education center renovation","Raihana Ansary ","Rachael Wiggins Emory",
"Hoyt Arboretum Friends","06/03/2026","","Personal Meeting","Parks and Recreation: natural areas ","Hoyt Arboretum visitor and education center renovation","Raihana Ansary ","Rachael Wiggins Emory",
"Hoyt Arboretum Friends","06/23/2026","","Telephone","Parks and Recreation: natural areas ","Hoyt Arboretum visitor and education center renovation","Megan Beyer","Rachael Wiggins Emory",
"Hoyt Arboretum Friends","06/29/2026","","Email","Parks and Recreation: natural areas ","Hoyt Arboretum visitor and education center renovation","Angelita Morillo; Candace Avalos; Elana Pirtle-Guiney; Jamie Dunphy; Loretta Smith; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Madeline Do; Rachael Wiggins Emory",
"Lyft, Inc.","04/03/2026","","Personal Meeting","Other: Transportation","16.40.240 TNC Operating Responsibilities and Prohibitions: Take Rate Ordinance","Elana Pirtle-Guiney; Steve Novick","Meadow Johnson",
"Lyft, Inc.","04/07/2026","","Virtual Meeting","Other: Transportation","16.40.240 TNC Operating Responsibilities and Prohibitions: Understanding impact, should changes be made to TNC governance","Millicent Williams","Marissa Cade",
"Lyft, Inc.","04/22/2026","","Virtual Meeting","Other: Transportation","16.40.240 TNC Operating Responsibilities and Prohibitions: Take Rate Ordinance","Will Mespelt","Marissa Cade",
