"Entity","Contact date","Contact end date","Contact type(s)","Subject","Action of interest","City official(s)","Lobbyist(s)",
"PPSAF","05/26/2026","","Personal Meeting","Police and Public Safety","psychedelic health & safety","Mitch Green","Adriana Voss-Andreae; Courtney Moran; Kari Chisholm ",
"PPSAF","05/26/2026","","Personal Meeting","Police and Public Safety","psychedelic health & safety","Elijah Crawford; Loretta Smith","Adriana Voss-Andreae; Courtney Moran; Kari Chisholm ",
"PPSAF","05/26/2026","","Personal Meeting","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm ",
"PPSAF","05/26/2026","","Personal Meeting","Police and Public Safety","psychedelic health & safety","Eben Hoffer","Kari Chisholm ",
"PPSAF","05/26/2026","","Email","Police and Public Safety","psychedelic health & safety","Lorne Bulling","Kari Chisholm ",
"PPSAF","05/26/2026","","Email","Police and Public Safety","psychedelic health & safety","Devin Mullins","Adriana Voss-Andreae; Courtney Moran; Kari Chisholm ; Max Kelemen; Nathan Howard",
"PPSAF","05/27/2026","","Email","Police and Public Safety","psychedelic health & safety","Devin Mullins","Adriana Voss-Andreae; Courtney Moran; Kari Chisholm ; Max Kelemen; Nathan Howard",
"PPSAF","05/27/2026","","Email","Police and Public Safety","psychedelic health & safety","Spencer Knowles","Adriana Voss-Andreae; Courtney Moran; Kari Chisholm ; Max Kelemen; Nathan Howard",
"PPSAF","05/27/2026","","Text Message","Police and Public Safety","psychedelic health & safety","Christian Aguinaga ; Devin Mullins","Kari Chisholm ",
"PPSAF","05/28/2026","","Text Message","Police and Public Safety","psychedelic health & safety","Christian Aguinaga ; Devin Mullins","Kari Chisholm ",
"PPSAF","05/28/2026","","Email","Police and Public Safety","psychedelic health & safety","Angelita Morillo; Meredith Wadlington; Suzy Deuster","Adriana Voss-Andreae; Courtney Moran; Max Kelemen; Nathan Howard",
"PPSAF","05/28/2026","","Email","Police and Public Safety","psychedelic health & safety","Spencer Knowles","Adriana Voss-Andreae; Courtney Moran; Kari Chisholm ; Max Kelemen; Nathan Howard",
"PPSAF","05/28/2026","","Email","Police and Public Safety","psychedelic health & safety","Candace Avalos","Adriana Voss-Andreae; Courtney Moran; Max Kelemen; Nathan Howard",
"PPSAF","05/28/2026","","Email","Police and Public Safety","psychedelic health & safety","Mary Li; Tiffany Koyama Lane","Adriana Voss-Andreae; Courtney Moran; Max Kelemen; Nathan Howard",
"PPSAF","05/28/2026","","Telephone","Police and Public Safety","psychedelic health & safety","Christian Aguinaga ","Kari Chisholm ",
"PPSAF","05/29/2026","","Telephone","Police and Public Safety","psychedelic health & safety","Loretta Smith","Kari Chisholm ",
"PPSAF","05/29/2026","","Telephone","Police and Public Safety","psychedelic health & safety","Devin Mullins","Courtney Moran; Kari Chisholm ",
"PPSAF","05/29/2026","","Email","Police and Public Safety","psychedelic health & safety","Elijah Crawford; Loretta Smith","Adriana Voss-Andreae; Courtney Moran; Kari Chisholm ; Max Kelemen; Nathan Howard",
"PPSAF","05/29/2026","","Personal Meeting","Police and Public Safety","psychedelic health & safety","Lisa Freeman","Courtney Moran; Kari Chisholm ; Max Kelemen",
"PPSAF","06/01/2026","","Text Message","Police and Public Safety","psychedelic health & safety","Spencer Knowles","Kari Chisholm ",
"PPSAF","06/01/2026","","Personal Meeting","Police and Public Safety","psychedelic health & safety","Daniel Lewkow; Eric Zimmerman; Luke Zak","Courtney Moran; Kari Chisholm ; Max Kelemen; Nathan Howard",
"PPSAF","06/01/2026","","Personal Meeting","Police and Public Safety","psychedelic health & safety","Devin Mullins","Courtney Moran; Kari Chisholm ; Max Kelemen; Nathan Howard",
"PPSAF","06/02/2026","","Personal Meeting","Police and Public Safety","psychedelic health & safety","Eva Stanganelli; Jamie Dunphy","Courtney Moran; Max Kelemen; Nathan Howard",
"PPSAF","06/02/2026","","Personal Meeting","Police and Public Safety","psychedelic health & safety","Devin Mullins","Courtney Moran; Max Kelemen",
"PPSAF","06/02/2026","","Personal Meeting","Police and Public Safety","psychedelic health & safety","Mitch Green","Courtney Moran; Kari Chisholm ; Max Kelemen",
"PPSAF","06/02/2026","","Personal Meeting","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm ",
"PPSAF","06/02/2026","","Personal Meeting","Police and Public Safety","psychedelic health & safety","Aisling Coghlan","Kari Chisholm ",
"PPSAF","06/02/2026","","Personal Meeting","Police and Public Safety","psychedelic health & safety","Lisa Freeman","Kari Chisholm ",
"PPSAF","06/02/2026","","Personal Meeting","Police and Public Safety","psychedelic health & safety","Daniel Lewkow","Courtney Moran; Kari Chisholm ",
"PPSAF","06/02/2026","","Personal Meeting","Police and Public Safety","psychedelic health & safety","Loretta Smith","Kari Chisholm ",
"PPSAF","06/02/2026","","Personal Meeting","Police and Public Safety","psychedelic health & safety","Meredith Wadlington","Courtney Moran; Kari Chisholm ; Max Kelemen; Nathan Howard",
"PPSAF","06/02/2026","","Personal Meeting","Police and Public Safety","psychedelic health & safety","Spencer Knowles","Kari Chisholm ",
"PPSAF","06/02/2026","","Personal Meeting","Police and Public Safety","psychedelic health & safety","Loretta Smith","Nathan Howard",
"PPSAF","06/02/2026","","Text Message","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm ",
"PPSAF","06/02/2026","","Text Message","Police and Public Safety","psychedelic health & safety","Daniel Lewkow; Luke Zak","Kari Chisholm ",
"PPSAF","06/02/2026","","Text Message","Police and Public Safety","psychedelic health & safety","Eric Zimmerman","Kari Chisholm ",
"PPSAF","06/02/2026","","Email","Police and Public Safety","psychedelic health & safety","Kezia Wanner","Kari Chisholm ",
"PPSAF","06/02/2026","","Personal Meeting","Police and Public Safety","psychedelic health & safety","Mitch Green","Max Kelemen",
"PPSAF","06/02/2026","","Personal Meeting","Police and Public Safety","psychedelic health & safety","Meredith Wadlington","Max Kelemen",
"PPSAF","06/02/2026","","Personal Meeting","Police and Public Safety","psychedelic health & safety","Devin Mullins","Max Kelemen",
"PPSAF","06/03/2026","","Email","Police and Public Safety","psychedelic health & safety","Mary Li; Tiffany Koyama Lane","Adriana Voss-Andreae; Courtney Moran; Max Kelemen; Nathan Howard",
"PPSAF","06/03/2026","","Email","Police and Public Safety","psychedelic health & safety","Daniel Lewkow; Eric Zimmerman; Luke Zak","Adriana Voss-Andreae; Courtney Moran; Jennifer Luecht; Max Kelemen; Nathan Howard",
"PPSAF","06/04/2026","","Email","Police and Public Safety","psychedelic health & safety","Kezia Wanner","Kari Chisholm ",
"PPSAF","06/04/2026","","Email","Police and Public Safety","psychedelic health & safety","Megan Beyer","Kari Chisholm ",
"PPSAF","06/09/2026","","Personal Meeting","Police and Public Safety","psychedelic health & safety","Steve Novick","Courtney Moran; Kari Chisholm ; Max Kelemen; Nathan Howard",
"PPSAF","06/10/2026","","Telephone","Police and Public Safety","psychedelic health & safety","Spencer Knowles","Courtney Moran",
"PPSAF","06/11/2026","","Email","Police and Public Safety","psychedelic health & safety","Spencer Knowles","Courtney Moran",
"PPSAF","06/11/2026","","Email","Police and Public Safety","psychedelic health & safety","Spencer Knowles; Steve Novick","Courtney Moran; Kari Chisholm ; Max Kelemen; Nathan Howard",
"PPSAF","06/11/2026","","Email","Police and Public Safety","psychedelic health & safety","Spencer Knowles; Steve Novick","Courtney Moran; Kari Chisholm ; Max Kelemen; Nathan Howard",
"PPSAF","06/11/2026","","Email","Police and Public Safety","psychedelic health & safety","Kristopher Taft","Courtney Moran; Kari Chisholm ; Max Kelemen; Nathan Howard",
"PPSAF","06/12/2026","","Virtual Meeting","Police and Public Safety","psychedelic health & safety","Lisa Freeman","Courtney Moran; Max Kelemen",
"PPSAF","06/12/2026","","Telephone","Police and Public Safety","psychedelic health & safety","Lisa Freeman","Courtney Moran",
"PPSAF","06/12/2026","","Text Message","Police and Public Safety","psychedelic health & safety","Lisa Freeman","Courtney Moran",
"PPSAF","06/12/2026","","Telephone","Police and Public Safety","psychedelic health & safety","Spencer Knowles","Courtney Moran",
"PPSAF","06/12/2026","","Text Message","Police and Public Safety","psychedelic health & safety","Spencer Knowles","Courtney Moran",
"PPSAF","06/12/2026","","Text Message","Police and Public Safety","psychedelic health & safety","Devin Mullins","Courtney Moran; Kari Chisholm ",
"PPSAF","06/15/2026","","Email","Police and Public Safety","psychedelic health & safety","Krisha Anand; Kristopher Taft","Courtney Moran; Kari Chisholm ; Max Kelemen; Nathan Howard",
"PPSAF","06/15/2026","","Telephone","Police and Public Safety","psychedelic health & safety","Devin Mullins","Courtney Moran",
"PPSAF","06/22/2026","","Email","Police and Public Safety","psychedelic health & safety","Loretta Smith","Adriana Voss-Andreae; Courtney Moran; Kari Chisholm ; Max Kelemen; Nathan Howard",
"PPSAF","06/23/2026","","Email","Police and Public Safety","psychedelic health & safety","Devin Mullins","Adriana Voss-Andreae; Courtney Moran; Kari Chisholm ; Max Kelemen; Nathan Howard",
"PPSAF","06/23/2026","","Email","Police and Public Safety","psychedelic health & safety","Christian Aguinaga ; Devin Mullins; Spencer Knowles; Steve Novick","Adriana Voss-Andreae; Courtney Moran; Kari Chisholm ; Max Kelemen; Nathan Howard",
"PPSAF","06/29/2026","","Email","Police and Public Safety","psychedelic health & safety","Christian Aguinaga ; Devin Mullins; Spencer Knowles; Steve Novick","Adriana Voss-Andreae; Courtney Moran; Kari Chisholm ; Max Kelemen; Nathan Howard",
"PPSAF","06/29/2026","","Email","Police and Public Safety","psychedelic health & safety","Spencer Knowles; Steve Novick","Adriana Voss-Andreae; Courtney Moran; Kari Chisholm ; Max Kelemen; Nathan Howard",
"Pro-Animal Oregon","04/01/2026","04/29/2026","Committee Meeting; Communication Preparation","Business and Economic Development","Mobilized supporters to give verbal and written testimony in support of foie gras ban","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Eva Hamer; Samuel Schillinger",
"Pro-Animal Oregon","04/01/2026","06/30/2026","Communication Preparation; Email; Text Message","Business and Economic Development","sending talking points to councilors to use during city council meeting","Angelita Morillo; Candace Avalos; Jamie Dunphy; Mitch Green; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Eva Hamer; Samuel Schillinger",
"Pro-Animal Oregon","04/01/2026","06/30/2026","Communication Preparation; Direct Mail; Email; Telephone; Text Message","Business and Economic Development","mobilizing supporters to contact councilors to support foie gras ban","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Eva Hamer; Samuel Schillinger",
"Pro-Animal Oregon","04/01/2026","06/30/2026","Communication Preparation; Email; Virtual Meeting","Business and Economic Development","Prepared talking points for councilors to use at city council meeting","Angelita Morillo; Candace Avalos; Jamie Dunphy; Mitch Green; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Eva Hamer; Samuel Schillinger",
"Pro-Animal Oregon","04/01/2026","06/30/2026","Telephone; Text Message","Business and Economic Development","Text messages and phone calls to discuss timeline and logistics for foie gras ban city council meeting","Christian Aguinaga ","Eva Hamer; Samuel Schillinger",
"Pro-Animal Oregon","04/01/2026","06/06/2026","Social Media","Business and Economic Development","Mobilized supporters to attend city council meetings, town halls, shared excerpts from meeting, urged supporters to leave positive comments on press.","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Eva Hamer; Samuel Schillinger",
"Pro-Animal Oregon","04/01/2026","06/06/2026","Email","Business and Economic Development","Emailed councilors data from research study about foie gras and footage from Hudson Valley Foie Gras farm","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Samuel Schillinger",
"Pro-Animal Oregon","04/20/2026","","Communication Preparation; Personal Meeting","Business and Economic Development","Met in person to discuss foie gras ban","Elana Pirtle-Guiney","Samuel Schillinger",
"Pro-Animal Oregon","04/29/2026","","Committee Meeting","Business and Economic Development","Presented on Foie Gras Ban at City Council Meeting","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Samuel Schillinger",
"Pro-Animal Oregon","05/29/2026","","Telephone; Text Message","Business and Economic Development","phone call to share talking points in support of foie gras ban","Steve Novick","Samuel Schillinger",
"Pro-Animal Oregon","06/04/2026","06/30/2026","Email","Business and Economic Development","Thanked councilors for support on foie gras ban","Angelita Morillo; Candace Avalos; Jamie Dunphy; Mitch Green; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Eva Hamer; Samuel Schillinger",
"Rip City Not Rip Off","05/01/2026","06/26/2026","Email; Indirect Lobbying; Meeting Preparation; Personal Meeting; Social Media; Telephone; Text Message; Virtual Meeting","Business and Economic Development","We do not request a yes or a no, we are requesting more information about the deal so that we can support or not.","Angelita Morillo; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Keith Wilson; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Edan Krolewicz; Jonathan Pulvers",
"TriMet","04/03/2026","","Email","Transportation: streets, sidewalks and street lighting","Gateway Transit Center Improvements","Raihana Ansary ","John Serra",
"TriMet","04/06/2026","","Personal Meeting","Transportation: streets, sidewalks and street lighting","Relationship Building","Lorne Bulling","John Serra",
"TriMet","04/08/2026","","Virtual Meeting","Housing and Community Development","Committee Member - Supportive Housing Services Regional Policy and Oversight Committee (SHS RPOC)","Keith Wilson","Andrew Wilson",
"TriMet","04/08/2026","","Text Message","Transportation: streets, sidewalks and street lighting","Transportation Alternatives","Millicent Williams","JC Vannatta",
"TriMet","04/13/2026","","Personal Meeting","Transportation: streets, sidewalks and street lighting","Relationship Building","Raymond Lee","Sam Desue",
"TriMet","04/14/2026","","Committee Meeting","Police and Public Safety","Homeless Services Coordination","Keith Wilson; Skyler Brocker-Knapp","John Serra",
"TriMet","04/14/2026","","Committee Meeting","Transportation: streets, sidewalks and street lighting","Portland Streetcar PEG Meeting","Millicent Williams; Raymond Lee","Sam Desue",
"TriMet","04/15/2026","","Email","Police and Public Safety","Transit Ambassador Program/Safety Response Team","Robert Day","Andrew Wilson",
"TriMet","04/16/2026","","Text Message","Police and Public Safety","Regional Investment Fund","Skyler Brocker-Knapp","John Serra",
"TriMet","04/17/2026","","Email","Transportation: streets, sidewalks and street lighting","TriMet Service Changes","Raihana Ansary ","John Serra",
"TriMet","04/20/2026","","Personal Meeting","Transportation: streets, sidewalks and street lighting","TriMet staffing, policy, and resource deployment (Safety & Security)","Keith Wilson","Andrew Wilson; JC Vannatta; Sam Desue",
"TriMet","04/23/2026","","Telephone","Police and Public Safety","Safety and Security Check In","Kristopher Taft","John Serra",
"TriMet","04/29/2026","","Personal Meeting","Transportation: streets, sidewalks and street lighting","Relationship Building","Donnie Oliveira","Sam Desue",
"TriMet","04/30/2026","","Text Message","Transportation: streets, sidewalks and street lighting","Transportation Alternatives","Millicent Williams","JC Vannatta",
"TriMet","05/13/2026","","Committee Meeting","Housing and Community Development","Supportive Housing Services Regional Policy Oversight Committee Meeting","Aisling Coghlan","John Serra",
"TriMet","05/13/2026","","Text Message","Police and Public Safety","Regional Investment Fund","Skyler Brocker-Knapp","John Serra",
"TriMet","05/18/2026","","Committee Meeting","Transportation: streets, sidewalks and street lighting","82nd Avenue Committee Meeting","Millicent Williams","Sam Desue",
"TriMet","05/20/2026","","Committee Meeting","Transportation: streets, sidewalks and street lighting","JPACT Meeting","Keith Wilson","Sam Desue",
"TriMet","05/27/2026","","Text Message","Transportation: streets, sidewalks and street lighting","Gateway Connector Project","Raihana Ansary ","John Serra",
"TriMet","06/10/2026","","Committee Meeting","Housing and Community Development","Supportive Housing Services Regional Policy Oversight Committee Meeting","Keith Wilson","John Serra",
"TriMet","06/15/2026","","Committee Meeting","Police and Public Safety","Transportation Corridor Alignment","Keith Wilson; Kristopher Taft; Robert Day","John Serra",
"TriMet","06/18/2026","","Committee Meeting","Transportation: streets, sidewalks and street lighting","JPACT Meeting","Keith Wilson","Sam Desue",
"TriMet","06/29/2026","","Committee Meeting","Transportation: streets, sidewalks and street lighting","82nd Avenue Committee Meeting","Millicent Williams","Sam Desue",
"United Food and Commercial Workers Local 555","04/01/2026","06/30/2026","Email; Meeting Preparation; Personal Meeting; Telephone","Labor","Grocery Worker Policy Development","Daniel Lewkow; Eric Zimmerman; Lorne Bulling; Luke Zak","Fiona Yau-Luu; Madison Walters",
"Verde","05/05/2026","","Virtual Meeting","Environment: natural","Discussing Portland Harbor Superfund Site","Candace Avalos","Cheyenne Holliday; Roselyn Poton",
"Verde","05/08/2026","","Personal Meeting","Transportation: streets, sidewalks and street lighting","Discussed status of 82nd Avenue Transit Project Funding","Alan DeLaTorre","Indi Namkoong",
"Verde","05/12/2026","","Personal Meeting","Transportation: streets, sidewalks and street lighting","Relationship building; general discussion of office's transportaiton priorities and Verde's work","Tiffany Koyama Lane","Indi Namkoong",
"Verde","05/14/2026","","Personal Meeting","Transportation: streets, sidewalks and street lighting","Discussed and offered feedback on two transportation safety policy concepts Councilor Smith planned to introduce","Loretta Smith","Indi Namkoong",
"Verde","06/02/2026","","Personal Meeting","Other: PCEF","Received update, Q&A on budget amendment to redirect PCEF interest to restore City jobs","Christian Aguinaga ; Maria Sipin","Indi Namkoong",
"Verde","06/23/2026","","Committee Meeting","Transportation: streets, sidewalks and street lighting","Gave invited testimony at Public Works committee meeting","Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Tiffany Koyama Lane","Indi Namkoong",
"Verde","06/29/2026","","Personal Meeting","Transportation: streets, sidewalks and street lighting","Debriefed  Public Works committee meeting, discussed next steps for ordinance","Alan DeLaTorre; Elijah Crawford; Loretta Smith","Indi Namkoong",
"Verizon","04/01/2026","","Personal Meeting","Transportation: streets, sidewalks and street lighting","street cutting fee","Millicent Williams","Amy Ruiz; Troy Gagliano",
"Verizon","04/01/2026","","Personal Meeting","Transportation: streets, sidewalks and street lighting","TUF","Millicent Williams","Amy Ruiz; Troy Gagliano",
"Verizon","04/17/2026","","Virtual Meeting","Transportation: streets, sidewalks and street lighting","TUF","Raymond Lee","Amy Ruiz",
"Vigor LLC","04/28/2026","06/26/2026","Email; Meeting Preparation; Personal Meeting; Virtual Meeting","Planning","Economic Opportunities Analysis","Candace Avalos; Eben Hoffer; Eric Engstrom; Eric Zimmerman; Loretta Smith; Olivia Clark; Steve Novick","Benton J Strong",
"Waymo LLC","04/08/2026","","Email","Business and Economic Development","Autonomous Vehicles","Aisling Coghlan; Mary Li","Amy Ruiz; Tony Morse",
"Waymo LLC","04/15/2026","04/28/2026","Email; Personal Meeting; Telephone; Text Message","Transportation: streets, sidewalks and street lighting","Waymo Mapping","Aisling Coghlan; Devyn Melnychuk; Elijah Crawford; Loretta Smith; Lorne Bulling; Mary Li; Olivia Clark; Taylor Zajonic","Amy Ruiz; Tony Morse",
"Western States Petroleum Association","05/12/2026","06/24/2026","Personal Meeting; Virtual Meeting","Sustainable Development: energy","Discussion around Critical Energy Infrastructure (CEI) hub/ comp plan","Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Gloria Ochoa-Sandoval; Jamie Dunphy; Steve Novick","Antonio Machado; Jennifer Arguinzoni-Ward; Sophia Steele",
"Working Waterfront Coalition","04/01/2026","06/30/2026","Committee Meeting; Communication Preparation; Direct Mail; Email; Goodwill Building (non-lobbying); Virtual Meeting","Other: Land Use","EOA","Adam Murray; Andre Miller; Angelita Morillo; Ashley McKenzie; Candace Avalos; Cornell Wesley; Dan Ryan; Devin Mullins; Devyn Melnychuk; Donnie Oliveira; Eben Hoffer; Edna Aguirre Velazquez; Elana Pirtle-Guiney; Elijah Crawford; Emory Mort; Eric Engstrom; Eric Zimmerman; Eva Stanganelli; Gloria Ochoa-Sandoval; Jamey Evenstar; Jamie Dunphy; Jennifer Stewart; Kristin Johnson; Loretta Smith; Lorne Bulling; Luke Zak; Maria Sipin; Mary Li; Megan Beyer; Mitch Green; Olivia Clark; Raihana Ansary ; Raymond Lee; Sameer Kanal; Shaniqua Henry-Davis; Sofia Diffee; Spencer Knowles; Steve Novick; Tiffany Koyama Lane; Vivian Satterfield; Will Mespelt; Zach Ward","Tanya Hartnett",
"Working Waterfront Coalition","04/01/2026","06/30/2026","Committee Meeting; Communication Preparation; Direct Mail; Email; Meeting Preparation; Text Message; Virtual Meeting","Other: Fuel","CEI Hub","Alexander Browne; Andre Miller; Angelita Morillo; Candace Avalos; Cornell Wesley; Dan Ryan; Devin Mullins; Devyn Melnychuk; Donnie Oliveira; Eben Hoffer; Edna Aguirre Velazquez; Elana Pirtle-Guiney; Elijah Crawford; Emory Mort; Eric Engstrom; Eric Zimmerman; Eva Stanganelli; Gloria Ochoa-Sandoval; Jamey Evenstar; Jamie Dunphy; Jamie Dunphy; Jeffrey Lynott; Jennifer Stewart; Loretta Smith; Lorne Bulling; Luke Zak; Mary Li; Megan Beyer; Mitch Green; Olivia Clark; Raihana Ansary ; Raymond Lee; Sameer Kanal; Shaniqua Henry-Davis; Sofia Diffee; Spencer Knowles; Steve Novick; Tiffany Koyama Lane; Vivian Satterfield; Will Mespelt","Tanya Hartnett",
